Toss,Series,Season,Player Of The Match,Match days,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points,Match Info,Target
"Janakpur Bolts (NPL), elected to field first",Nepal Premier League,2024/25,Lahiru Milantha,30 November 2024 - day (20-over match),"['Durga Subedi', 'Vinay Kumar']",Bismillah Jan Shinwari,Ujjwal Regmi,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Biratnagar Kings (NPL) 0",Janakpur won by 8 wickets (with 27 balls remaining),127
"Chitwan Rhinos (NPL), elected to field first",Nepal Premier League,2024/25,Sohail Tanvir,02 December 2024 - day (20-over match),"['Buddhi Pradhan', 'Himal Giri']",Durga Subedi,Hem Raj Bhatta,Mohammed Shafique,"Chitwan Rhinos (NPL) 2, Kathmandu Gurkhas (NPL) 0",Chitwan won by 5 wickets (with 17 balls remaining),111/9
"Karnali Yaks (NPL), elected to bat first",Nepal Premier League,2024/25,Anil Sah,02 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Rashid Riaz']",Vinay Kumar,Ujjwal Regmi,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Karnali Yaks (NPL) 0",Janakpur won by 8 wickets (with 29 balls remaining),141/7
"Biratnagar Kings (NPL), elected to field first",Nepal Premier League,2024/25,Dipendra Singh Airee,03 December 2024 - day (20-over match),"['Durga Subedi', 'Himal Giri']",Rashid Riaz,Ujjwal Regmi,Mohammed Shafique,"Sudur Paschim Royals (NPL) 2, Biratnagar Kings (NPL) 0",S Paschim won by 90 runs,182/7
"Pokhara Avengers (NPL), elected to field first",Nepal Premier League,2024/25,Rijan Dhakal,03 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Vinay Kumar']",Buddhi Pradhan,Hem Raj Bhatta,Mohammed Shafique,"Chitwan Rhinos (NPL) 2, Pokhara Avengers (NPL) 0",Chitwan won by 87 runs,161/7
"Kathmandu Gurkhas (NPL), elected to field first",Nepal Premier League,2024/25,Sumit Maharjan,04 December 2024 - day (20-over match),"['Himal Giri', 'Rashid Riaz']",Vinay Kumar,Hem Raj Bhatta,Manu Nayar,"Kathmandu Gurkhas (NPL) 2, Karnali Yaks (NPL) 0",Kathmandu won by 3 wickets (with 3 balls remaining),149/5
"Biratnagar Kings (NPL), elected to field first",Nepal Premier League,2024/25,Lokesh Bam,04 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",Durga Subedi,Ujjwal Regmi,Manu Nayar,"Biratnagar Kings (NPL) 2, Lumbini Lions (NPL) 0",Biratnagar won by 2 wickets (with 1 ball remaining),191/7
"Janakpur Bolts (NPL), elected to field first",Nepal Premier League,2024/25,James Neesham,05 December 2024 - day (20-over match),"['Durga Subedi', 'Vinay Kumar']",Buddhi Pradhan,Ujjwal Regmi,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Pokhara Avengers (NPL) 0",Janakpur won by 7 wickets (with 17 balls remaining),138/7
"Kathmandu Gurkhas (NPL), elected to field first",Nepal Premier League,2024/25,Naren Saud,05 December 2024 - day (20-over match),"['Himal Giri', 'Rashid Riaz']",Bismillah Jan Shinwari,Hem Raj Bhatta,Manu Nayar,"Sudur Paschim Royals (NPL) 2, Kathmandu Gurkhas (NPL) 0",S Paschim won by 73 runs,167/6
"Karnali Yaks (NPL), elected to field first",Nepal Premier League,2024/25,Bipin Sharma,06 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Durga Subedi']",Rashid Riaz,Hem Raj Bhatta,Mohammed Shafique,"Karnali Yaks (NPL) 2, Chitwan Rhinos (NPL) 0",Karnali won by 6 wickets (with 1 ball remaining),130/7
