Player,Mat,Inns,NO,Runs,BF,HS,Ave,SR,100,50,0,4s,6s
Janakpur Bolts,JDS Neesham,9,9,2,247,126,65,35.28,196.03,-,1,-,14,23
Janakpur Bolts,BKEL Milantha,10,10,1,293,224,87,32.55,130.80,-,2,-,35,9
Janakpur Bolts,H Thaker,10,9,4,138,147,30*,27.60,93.87,-,-,-,9,3
Janakpur Bolts,AK Sah,7,7,1,132,111,62*,22.00,118.91,-,1,1,10,7
Janakpur Bolts,Aasif Sheikh,10,10,-,162,151,36,16.20,107.28,-,-,1,17,5
Janakpur Bolts,Mayan Yadav,2,2,1,16,21,14,16.00,76.19,-,-,-,0,0
Janakpur Bolts,S Kansakar,10,6,1,71,76,26,14.20,93.42,-,-,1,7,3
Janakpur Bolts,J Tromp,1,1,-,13,13,13,13.00,100.00,-,-,-,1,1
Janakpur Bolts,A Tripathi,3,3,1,19,30,13,9.50,63.33,-,-,-,1,0
Janakpur Bolts,H Dhami,2,1,-,9,11,9,9.00,81.81,-,-,-,1,0
Janakpur Bolts,Mohammad Mohsin,9,6,1,42,40,13*,8.40,105.00,-,-,-,5,1
Janakpur Bolts,S Malla,8,5,1,24,27,16*,6.00,88.88,-,-,2,0,1
Janakpur Bolts,K Mahato,10,4,3,6,21,4*,6.00,28.57,-,-,-,0,0
Janakpur Bolts,A Yadav,5,3,-,12,24,11,4.00,50.00,-,-,1,0,0
Janakpur Bolts,LN Rajbanshi,10,3,-,4,14,4,1.33,28.57,-,-,2,1,0
Janakpur Bolts,BWM Mike,1,-,-,-,0,-,0.00,0.00,-,-,-,0,0
Janakpur Bolts,TB Thapa,3,-,-,-,0,-,0.00,0.00,-,-,-,0,0
Biratnagar Kings,Basir Ahamad,7,7,2,181,147,68*,36.20,123.12,-,1,-,11,7
Biratnagar Kings,MJ Guptill,6,6,-,137,114,55,22.83,120.17,-,1,1,15,5
Biratnagar Kings,SA Edwards,3,3,-,60,53,45,20.00,113.20,-,-,1,6,0
Biratnagar Kings,RP Magar,5,5,1,78,72,33*,19.50,108.33,-,-,-,2,5
Biratnagar Kings,Lokesh Bam,7,7,-,131,96,71,18.71,136.45,-,1,1,8,10
Biratnagar Kings,NR Kirton,7,7,-,93,103,40,13.28,90.29,-,-,1,9,2
Biratnagar Kings,D Bohara,6,6,1,60,56,20,12.00,107.14,-,-,-,4,1
Biratnagar Kings,Aqib Ilyas,2,2,-,23,32,15,11.50,71.87,-,-,-,3,0
Biratnagar Kings,CB Sole,7,6,1,35,27,14*,7.00,129.62,-,-,1,2,3
Biratnagar Kings,Pratis GC,6,5,2,20,17,7*,6.66,117.64,-,-,-,1,1
Biratnagar Kings,Subash Bhandari,3,1,-,6,10,6,6.00,60.00,-,-,-,0,0
Biratnagar Kings,S Lamichhane,7,5,1,22,20,8,5.50,110.00,-,-,1,1,1
Biratnagar Kings,N Bhatta,2,2,-,11,27,7,5.50,40.74,-,-,-,0,0
Biratnagar Kings,Ismat Alam,3,3,-,11,20,6,3.66,55.00,-,-,1,1,0
Biratnagar Kings,JK Mukhiya,1,1,-,-,1,-,0.00,0.00,-,-,1,0,0
Biratnagar Kings,A Kharel,5,3,3,17,19,10*,0.00,89.47,-,-,-,2,0
