Team Name,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Janakpur Bolts,LN Rajbanshi,2024-2024,10,10,40.0,5,213,17,3/8,12.52,5.32,14.1,-,-,3,-
Janakpur Bolts,Mohammad Mohsin,2024-2024,9,9,34.3,2,200,12,3/40,16.66,5.79,17.2,-,-,3,-
Janakpur Bolts,H Thaker,2024-2024,10,9,31.0,2,197,11,5/23,17.90,6.35,16.9,1,-,2,-
Janakpur Bolts,S Malla,2024-2024,8,7,19.3,-,132,7,3/11,18.85,6.76,16.7,-,-,1,-
Janakpur Bolts,K Mahato,2024-2024,10,10,33.0,1,265,14,4/35,18.92,8.03,14.1,-,-,1,-
Janakpur Bolts,A Yadav,2024-2024,5,3,8.0,-,69,3,2/16,23.00,8.62,16.0,-,-,4,-
Janakpur Bolts,BWM Mike,2024-2024,1,1,3.0,-,29,1,1/29,29.00,9.66,18.0,-,-,-,-
Janakpur Bolts,JDS Neesham,2024-2024,9,9,26.0,-,233,7,2/29,33.28,8.96,22.2,-,-,6,-
Janakpur Bolts,TB Thapa,2024-2024,3,2,2.0,-,19,0,-,0.00,9.50,-,-,-,1,-
Janakpur Bolts,Aasif Sheikh,2024-2024,10,-,0.0,-,-,0,-,0.00,-,-,-,-,6,-
Janakpur Bolts,H Dhami,2024-2024,2,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Janakpur Bolts,S Kansakar,2024-2024,10,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Janakpur Bolts,Mayan Yadav,2024-2024,2,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Janakpur Bolts,BKEL Milantha,2024-2024,10,-,0.0,-,-,0,-,0.00,-,-,-,-,1,4
Janakpur Bolts,AK Sah,2024-2024,7,-,0.0,-,-,0,-,0.00,-,-,-,-,12,-
Janakpur Bolts,A Tripathi,2024-2024,3,-,0.0,-,-,0,-,0.00,-,-,-,-,1,-
Janakpur Bolts,J Tromp,2024-2024,1,-,0.0,-,-,0,-,0.00,-,-,-,-,3,-
Biratnagar Kings,Lokesh Bam,2024-2024,7,1,1.0,-,8,1,1/8,8.00,8.00,6.0,-,-,2,-
Biratnagar Kings,Pratis GC,2024-2024,6,6,19.0,1,127,9,4/17,14.11,6.68,12.6,-,-,4,-
Biratnagar Kings,Basir Ahamad,2024-2024,7,6,19.0,1,123,6,2/22,20.50,6.47,19.0,-,-,4,-
Biratnagar Kings,RP Magar,2024-2024,5,1,2.0,-,22,1,1/22,22.00,11.00,12.0,-,-,-,-
Biratnagar Kings,CB Sole,2024-2024,7,7,27.0,-,200,9,2/21,22.22,7.40,18.0,-,-,3,-
Biratnagar Kings,A Kharel,2024-2024,5,5,14.0,-,123,5,3/26,24.60,8.78,16.8,-,-,1,-
Biratnagar Kings,Subash Bhandari,2024-2024,3,2,4.1,-,31,1,1/27,31.00,7.44,25.0,-,-,-,-
Biratnagar Kings,S Lamichhane,2024-2024,7,7,28.0,-,191,6,3/19,31.83,6.82,28.0,-,-,1,-
Biratnagar Kings,Ismat Alam,2024-2024,3,3,7.0,-,72,2,1/21,36.00,10.28,21.0,-,-,-,-
Biratnagar Kings,Aqib Ilyas,2024-2024,2,2,7.0,-,50,1,1/31,50.00,7.14,42.0,-,-,-,-
Biratnagar Kings,JK Mukhiya,2024-2024,1,1,2.0,-,12,0,-,0.00,6.00,-,-,-,-,-
Biratnagar Kings,NR Kirton,2024-2024,7,3,3.3,-,29,0,-,0.00,8.28,-,-,-,2,-
Biratnagar Kings,N Bhatta,2024-2024,2,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Biratnagar Kings,D Bohara,2024-2024,6,-,0.0,-,-,0,-,0.00,-,-,-,-,3,-
Biratnagar Kings,SA Edwards,2024-2024,3,-,0.0,-,-,0,-,0.00,-,-,-,-,2,-
Biratnagar Kings,MJ Guptill,2024-2024,6,-,0.0,-,-,0,-,0.00,-,-,-,-,2,-
MG Erasmus,2024-2024,7,7,25.1,-,131,11,3/17,11.90,5.20,13.7,-,-,1,-
Kathmandu Gurkhas,D Kandel,2024-2024,6,5,16.0,-,87,7,3/6,12.42,5.43,13.7,-,-,1,-
Kathmandu Gurkhas,Karan KC,2024-2024,7,7,23.5,-,152,12,4/16,12.66,6.37,11.9,-,-,1,-
Kathmandu Gurkhas,Shahab Alam,2024-2024,7,7,23.0,-,125,6,3/20,20.83,5.43,23.0,-,-,3,-
Kathmandu Gurkhas,Rashid Khan,2024-2024,7,6,17.2,-,136,6,3/43,22.66,7.84,17.3,-,-,1,-
Kathmandu Gurkhas,DA Douthwaite,2024-2024,4,3,6.5,-,50,2,1/14,25.00,7.31,20.5,-,-,2,-
Kathmandu Gurkhas,M Levitt,2024-2024,7,2,6.0,-,45,1,1/13,45.00,7.50,36.0,-,-,4,-
Kathmandu Gurkhas,NA Sowter,2024-2024,3,3,9.0,-,86,1,1/32,86.00,9.55,54.0,-,-,-,-
Kathmandu Gurkhas,B Sharki,2024-2024,7,3,5.0,-,30,0,-,0.00,6.00,-,-,-,3,-
Kathmandu Gurkhas,SS Eskinazi,2024-2024,7,-,0.0,-,-,0,-,0.00,-,-,-,-,1,2
Kathmandu Gurkhas,S Maharjan,2024-2024,5,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Kathmandu Gurkhas,S Rana,2024-2024,4,-,0.0,-,-,0,-,0.00,-,-,-,-,1,-
Kathmandu Gurkhas,R Rijal,2024-2024,1,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Kathmandu Gurkhas,P Shrestha,2024-2024,5,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Chitwan Rhinos,Deepak Bohara,2024-2024,6,1,1.2,-,9,1,1/9,9.00,6.75,8.0,-,-,3,-
Chitwan Rhinos,Sohail Tanvir,2024-2024,8,8,30.2,1,174,14,5/21,12.42,5.73,13.0,1,-,1,-
Chitwan Rhinos,LM Benkenstein,2024-2024,5,3,8.0,-,68,4,3/37,17.00,8.50,12.0,-,-,2,-
Chitwan Rhinos,AS Routela,2024-2024,8,5,9.0,-,70,4,2/9,17.50,7.77,13.5,-,-,1,-
Chitwan Rhinos,R Dhakal,2024-2024,8,8,28.5,1,232,13,3/10,17.84,8.04,13.3,-,-,3,-
Chitwan Rhinos,JN Loftie-Eaton,2024-2024,3,3,8.0,-,56,3,2/18,18.66,7.00,16.0,-,-,3,-
Chitwan Rhinos,Kushal Malla,2024-2024,8,8,27.0,-,176,9,2/18,19.55,6.51,18.0,-,-,2,-
Chitwan Rhinos,RS Bopara,2024-2024,8,4,9.0,-,58,2,1/8,29.00,6.44,27.0,-,-,2,-
Chitwan Rhinos,Basil Hameed,2024-2024,2,2,6.0,-,53,1,1/15,53.00,8.83,36.0,-,-,-,-
Chitwan Rhinos,S Vesawkar,2024-2024,4,2,6.0,-,53,1,1/37,53.00,8.83,36.0,-,-,2,-
Chitwan Rhinos,R Kumar,2024-2024,5,5,14.0,-,120,2,1/26,60.00,8.57,42.0,-,-,2,-
Chitwan Rhinos,NB Sarki,2024-2024,1,1,2.0,-,18,0,-,0.00,9.00,-,-,-,-,-
Chitwan Rhinos,Hassan Eisakhil,2024-2024,6,-,0.0,-,-,0,-,0.00,-,-,-,-,2,-
Chitwan Rhinos,S Karki,2024-2024,8,-,0.0,-,-,0,-,0.00,-,-,-,-,2,-
Chitwan Rhinos,B Rawal,2024-2024,8,-,0.0,-,-,0,-,0.00,-,-,-,-,5,-
Karnali Yaks,BP Sharma,2024-2024,8,8,29.0,2,171,13,3/17,13.15,5.89,13.3,-,-,-,-
Karnali Yaks,Zeeshan Maqsood,2024-2024,9,9,33.0,-,177,10,3/26,17.70,5.36,19.8,-,-,-,-
Karnali Yaks,WG Bosisto,2024-2024,7,7,24.0,1,164,9,6/28,18.22,6.83,16.0,1,-,3,-
Karnali Yaks,NK Yadav,2024-2024,9,8,23.3,1,177,9,3/19,19.66,7.53,15.6,-,-,3,-
Karnali Yaks,SM Dhakal,2024-2024,1,1,2.1,-,25,1,1/25,25.00,11.53,13.0,-,-,-,-
Karnali Yaks,Sompal Kami,2024-2024,9,9,29.5,1,240,9,2/22,26.66,8.04,19.8,-,-,2,-
Karnali Yaks,UBS Thakuri,2024-2024,5,5,9.0,-,64,2,1/17,32.00,7.11,27.0,-,-,1,-
Karnali Yaks,Gulsan Jha,2024-2024,9,4,8.0,-,63,1,1/31,63.00,7.87,48.0,-,-,6,-
Karnali Yaks,D Khanal,2024-2024,9,1,2.0,-,22,0,-,0.00,11.00,-,-,-,4,-
Karnali Yaks,B Karki,2024-2024,2,2,5.0,-,39,0,-,0.00,7.80,-,-,-,-,-
Karnali Yaks,Babar Hayat,2024-2024,5,-,0.0,-,-,0,-,0.00,-,-,-,-,1,-
Karnali Yaks,S Dhawan,2024-2024,4,-,0.0,-,-,0,-,0.00,-,-,-,-,1,-
Karnali Yaks,A Gharti,2024-2024,9,-,0.0,-,-,0,-,0.00,-,-,-,-,2,-
Karnali Yaks,JA Kolsawala,2024-2024,2,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Karnali Yaks,Rit Gautam,2024-2024,2,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-
Karnali Yaks,CAK Walton,2024-2024,9,-,0.0,-,-,0,-,0.00,-,-,-,-,4,-
Sudur Paschim Royals,Harmeet Singh,2024-2024,5,5,20.0,2,90,8,3/17,11.25,4.50,15.0,-,-,-,-
